,video_id,channelTitle,title,description,tags,publishedAt,duration,definition,caption
1976,a-hXO7WH0uY,QueQuality,Szesnasty - Regres osobisty (prod. Nephasia),1500,"['szesnasty', 'szesnascie', '16', 'regres osobisty', 'regres', 'osobisty', 'pan tu nie stal', 'quequality', 'odsluch', 'pan', 'tu', 'nie', 'stal']",2016-06-07T13:36:40Z,PT3M34S,hd,false
1977,f3-gcfwkvk0,QueQuality,Szesnasty - Intro (prod. Brat Jordah),1409,"['szesnasty', 'pan tu nie stal', 'intro', 'pan', 'tu', 'nie', 'stal', 'brat jordah', 'introdukcja', 'szesnascie', '16', 'quequality']",2016-06-07T13:36:28Z,PT1M4S,hd,false
1978,F5eZlO7S3O8,QueQuality,Szesnasty - Pan tu nie stał (prod. Wembs),1617,"['szesnasty', '16', 'szesnascie', 'pan tu nie stał', 'pan', 'tu', 'nie', 'stał', 'zawsze', 'słyszysz', 'quequality', 'ml filmz', 'wembs', 'tego pan nie poskłada', 'eripe', 'białas']",2016-06-06T14:03:24Z,PT4M15S,hd,false
1979,apZb0ANPK7s,QueQuality,Szesnasty - Jesteś taki (prod. CatchUp),1598,"['Szesnasty', 'Jesteś', 'taki', 'CatchUp', 'QueQuality', '16', 'pantuniestal', 'pan', 'tu', 'nie', 'stal', 'moher', 'HVZX', 'ptns']",2016-06-04T14:59:29Z,PT3M,hd,false
1980,y-FUioDpv2w,QueQuality,2Na - Instynkt (prod. Apriljoke),1368,"['2Na', 'dwa en a', '2na', 'instynkt', 'instyk', 'apriljoke', 'quequality', 'vortex ep', 'vortex', 'part']",2016-06-01T13:44:51Z,PT2M36S,hd,false
1981,XoLOPrNpwfk,QueQuality,PlanBe - Zazdrość (prod. Got Barss),403,"['plnbe', 'planbe', 'plan be', 'lanek', 'zazdrość', 'zazdrosc', 'zazdro', 'got barss', 'quequality', 'fantasmagoria', 'planbe x lane']",2016-05-26T15:41:37Z,PT3M26S,hd,false
1982,h7XmZki869U,QueQuality,Szesnasty ft. Eripe - Limit słów (prod. Wembs),1130,"['szesnasty', '16', 'szesnascie', 'eripe', 'rip', 'wembs', 'dj flip', 'pan tu nie stal', 'quequality', 'patokalipsa', 'pato', 'limit słów', 'limit slow', 'limit', 'slow']",2016-05-24T12:33:58Z,PT3M3S,hd,false
1983,7eEpom_ZAtE,QueQuality,Quebonafide ft. Czesław Mozil - Bollywood (prod. Gibbs),895,"['quebonafide', 'quebo', 'bollywood', 'indie', 'czeslaw mozil', 'czeslaw spiewa', 'egzotyka', 'quequality', 'czesław', 'szejk', 'dubaj', 'gdzie te usmiechy z bollywood', 'nikt nie tanczy', 'hdscvm']",2016-05-17T15:32:47Z,PT4M59S,hd,true
1984,uP3LuwGp6lE,QueQuality,Quebonafide - Szejk (prod. Teken),940,"['quebonafide', 'quebo', 'szejk', 'szejk szejk bejbi', 'egzotyka', 'solar', 'quequality', 'maryla rodowicz', 'bo to co nas podnieca', 'kasa', 'dubaj', 'emiraty arabskie', 'bejbe', 'bollywood', 'quebahombre']",2016-05-17T15:32:25Z,PT4M49S,hd,true
1985,WruABqhgsV4,QueQuality,Kartky x Emes Milligan - Naprawdę (prod. Airflake) / HIP-HOP 2.0,1658,"['kartky', 'emes milligan', 'emes', 'naprawdę', 'chce przezyc naprawde to', 'naprawde', 'milligan', 'kartki', 'hip hop 2.0', 'hiphopdwazero', 'quequality', 'kuba stemplowski', 'punkt widzenia', 'quebonafide', 'skladanka', 'nowe kino']",2016-05-16T12:49:06Z,PT4M22S,hd,false
1986,rC3OJokxTHg,QueQuality,Nieznanyklarenz - Prawie znany (prod. SiwySiwek) / HIP-HOP 2.0,1355,"['nieznanyklarenz', 'nieznany', 'klarenz', 'prawie znany', 'prawie', 'znany', 'quequality', 'hip hop 2.0', 'hiphopdwazero', 'quebonafide', 'siwysiwek', 'g-easy']",2016-05-08T11:55:17Z,PT4M11S,hd,false
1987,oeqRXlcrNhU,QueQuality,Szesnasty - Antybohater (prod. Snuggles),1119,"['szesnasty', '16', 'szesnascie', 'antybohater', 'bohater', 'pan tu nie stal', 'eripe', 'quequality', 'snuggles', 'moher', 'catchup', 'anty', 'odsluch']",2016-05-04T11:45:58Z,PT3M41S,hd,false
1988,NCriHqnU3Yo,QueQuality,GUZIOR - Ōmori Ōmori (prod. SecretRank),1594,"['guzior', 'mati', 'omori', 'omori omori', 'omari', 'Ōmori Ōmori', 'secretrank', 'quequality', 'quebonafide', 'hip hop 2.0', 'hiphopdwazero', 'double p video', 'tokio', 'mati to guzior', 'klip z japoni', 'japan']",2016-04-29T09:03:18Z,PT4M14S,hd,false
1989,xoW6qBJVQms,QueQuality,EMAS - Into the wild (prod. Fleczer),932,"['emas', 'EMAS', 'into the wild', 'into', 'wild', 'fleczer', 'pięć minut sławy', 'piec minut slawy', 'wena', 'zkibwoy', 'quequality', 'milligan', 'hdscv']",2016-04-26T13:50:57Z,PT2M49S,hd,false
1990,I-pnBQeoaII,QueQuality,Stochu - Jestem (prod. Johnny Beats) OFA#6,348,"['stochu', 'jestem', 'stoch', 'johny beats', 'ofa', 'van', 'bezpresji studio', 'lucky dice']",2016-04-25T13:51:40Z,PT3M35S,hd,false
1991,XwlIjg_q8EU,QueQuality,Quebonafide ft. Szesnasty - Enigma Room (prod. MVZR) / HIP-HOP 2.0,1721,"['quebonafide', 'quebo', 'szesnasty', '16', 'enigma', 'enigma room', 'hip hop 2.0', 'hip-hop 2', 'hiphopdwazero', 'mzvr', 'mvzr', 'deys', 'improbros', 'quequality']",2016-04-24T12:01:03Z,PT4M11S,hd,false
1992,Evug3WXIdak,QueQuality,Komil x Essex - Ślepcy (feat. Sylwia Dynek) [KOOZA mash-up],356,"['Komil', 'Essex', 'Slepcy', 'Sylwia Dynek', 'Pierwsza', 'Soundngrace', 'kooza', 'mashup', 'quequality', 'crusher', 'crusher mixtape', 'do rana', 'monopoly', 'cisza', 'moja cisza wygra', '32 kawałki drewna', 'szachy', 'komil khamidov', 'kamil rap']",2016-04-20T13:59:15Z,PT3M10S,hd,false
1993,ygEUCA2LJjI,QueQuality,Szesnasty - Miami Vice (prod. CatchUp),1449,"['szesnasty', 'miami vice', '16', 'catchup', 'majami vaice', 'quequality', 'pan tu nie stal', 'mixtape', 'miami', 'vice', 'ml filmz', 'ksiaze', '3litery']",2016-04-17T11:43:15Z,PT3M19S,hd,false
1994,uJmFl-0aLs4,QueQuality,Fiłoń feat. Patrycja Dajnowicz - Maliny,228,"['fiłoń', 'filon', 'maliny', 'patrycja', 'dajnowicz', 'mysloodsiewnia', 'mixtape', 'rebels', 'rbls', 'alien', 'izabella', 'turowska', 'quequality']",2016-04-14T14:06:57Z,PT3M5S,hd,false
1995,VU0xUZrUIWI,QueQuality,Flaszki i Szlugi - 24h,528,"['flaszki i szlugi', 'flaszki', 'szlugi', '24h', 'brat jordah', 'video', 'nareszcie', 'quequality', 'krol swiata']",2016-04-13T14:23:53Z,PT3M21S,hd,false
1996,RxezeVQolYY,QueQuality,3003 - Tytuł jest nieistotny (prod. Emo),274,"['3003', 'tytul jest nieistotny', 'emo', 'tytul', 'nieistotny', 'planbe', 'trzyzerozerotrzy', 'untitled.mxtp 2016']",2016-04-12T13:42:41Z,PT2M59S,hd,false
1997,H1SfgKZ727I,QueQuality,Stochu - Hajs się nie zgadza (prod. SoDrumatic) OFA#5,368,"['stochu', 'hajs sie nie zgadza', 'hajs sie zgadza', 'stoch', 'ofa', 'sodrumatic', 'odsluch']",2016-04-11T14:00:14Z,PT2M51S,hd,false
1998,yh1seRt6ALw,QueQuality,"EMAS - Sinusoida (prod. Stona, cuty DJ Krime)",671,"['emas', 'EMAS', 'sinusoida', 'pięć minut sławy', 'piec minut slawy', 'stona', 'dj krime', 'wena', 'zkibwoy', 'quequality', 'odsluch', 'sinusoda']",2016-04-10T12:43:12Z,PT3M48S,hd,false
1999,M7IqYtRFPgA,QueQuality,EMAS - Ronald Dunham (prod. Stona),658,"['EMAS', 'emas', 'donald dunham', 'ronald', 'dunham', 'stona', 'quequality', 'odsłuch', 'pięc minut sławy', 'piec minut slawy', 'wena', 'zkibwoy']",2016-04-10T12:43:00Z,PT4M9S,hd,false
2000,XnchwNirCsQ,QueQuality,EMAS - Więcej życia (prod. Babek),657,"['EMAS', 'emas', 'wiecej zycia', 'więcej życia', 'babek', 'pięć minut sławy', 'quequality', 'wena', 'zkibwoy', 'odsluch']",2016-04-10T12:42:49Z,PT2M26S,hd,false
2001,SVAyA1tRofU,QueQuality,"EMAS - Jusqu'ici tout va bien (prod. Stona, ref: Emiliyah)",699,"['EMAS', 'emas', ""Jusqu'ici tout va bien"", 'stona', 'emiliyah', ""Jusqu'ici tout"", 'va bien', 'pięć minut sławy', 'quequality', 'odsluch']",2016-04-10T12:42:41Z,PT4M10S,hd,false
2002,CiD9Nxb7Cr4,QueQuality,"EMAS ft. W.E.N.A. - Nigdy więcej łez (prod. Cok, ref: Jakub Jonkisz)",722,"['EMAS', 'emas', 'wena', 'W.E.N.A.', 'wudoe', 'jakub jonkisz', 'nigdy wiecej lez', 'nigdy więcej łez', 'quequality', 'pięć minut sławy', 'piec minut slawy', 'zkibwoy', 'odsluch']",2016-04-09T12:05:15Z,PT3M52S,hd,false
2003,-UjOFb2GygM,QueQuality,"EMAS - Ostatni dzwonek (prod. Wiro, cuty DJ Ace)",674,"['EMAS', 'emas', 'ostatni dzwonek', 'ostatni', 'dzwonek', 'wiro', 'dj ace', 'piec minut slawy', 'pięć minut sławy', 'quequality', 'wena', 'zkibwoy']",2016-04-08T16:16:17Z,PT3M22S,hd,false
2004,UHVz4ck3Gpw,QueQuality,"EMAS ft. Zkibwoy - Zero presji (prod. YBEAT, cuty DJ Ace)",692,"['emas', 'EMAS', 'zkibwoy', 'brudne serca', 'brd src', 'smarki smark', 'zkibwoj', 'zero presji', 'presja', 'dj ace', 'ybeat', 'piec minut slawy', 'quequality', 'wena']",2016-04-07T13:42:24Z,PT3M18S,hd,false
2005,pkufhDC6iIw,QueQuality,Żabson ft. Quebonafide - Czarne okulary (prod. 2K Beatz),1133,"['zabson', 'quebo', 'quebonafide', 'żabson', 'czarne okulary', 'czarne', 'okulary', 'passion fruits ep', 'niekumam', 'quequality', 'pokora', 'kuban', 'bialas', 'passion fruit', 'ep', 'queshop']",2016-04-06T14:07:46Z,PT3M51S,hd,false
2006,Yh83fJGrvz0,QueQuality,EMAS - Daleko od domu (prod. Emes Milligan),791,"['EMAS', 'emes', 'daleko od domu', 'daleko', 'domu', 'pięć minut sławy', 'quequality', 'nie zostawił', 'zayafka', 'piec minut slawy']",2016-03-30T14:06:52Z,PT3M45S,hd,false
